14,15,16,17,18,19,20,21,22,23,24
"x2,t1,m5","x2,t1,m5","x2,t1,m6","x2,t1,m7","x2,t1,m7","x2,t1,b1,m7","x2,t1,bm1,m8","x2,t1,bf1,m8","x2,t1,bf1,m9","x2,ls,m9","x2,ls,m10"
"x2,t1,a2,d2,m5","x2,t1,a2,d3,m6","x2,t1,a3,d2,m6","x2,t1,a3,d2,m7","x2,t1,b1,a3,d2,m7","x2,t1,bm1,a3,d2,m7","x2,t1,bm1,a3,d2,m8","x2,t1,bf1,a3,d2,m8","x2,t1,bf1,a3,d2,m9","x2,t1,bs1,a3,d2,m9","x2,t1,bs1,a3,d2,m10"
"x2,t1,m5","x2,t1,m6","x2,t1,b1,m6","x2,t1,bm1,m7","x2,t1,bm1,m7","x2,ls,m6","x2,ls,m8","x2,ls,m8","x2,ls,m9","x2,ls,m9","x2,ls,m10"
"x2,b1,a2,d2,m5","x2,b1,a2,d2,m6","x2,b1,a3,d2,m6","x2,b1,a3,d2,m7","x2,b1,a3,d2,m7","x2,bm1,a3,d2,m7","x2,bm1,a3,d2,m8","x2,bf1,a3,d2,m8","x2,t1,bf1,a3,d2,m9","x2,ls,a3,d2,m9","x2,ls,a3,d2,m10"
"x2,d3,t1,f,m5 ","x2,d3,t1,b1,f,m5","x2,d3,t1,b1,f,m6","x2,d4,t1,bm,f,m7","x2,d5,t1,bf1,f,m7","x2,d5,b1,t1,f,m8","x2,bm1,t1,f,m8,d6","x2,d6,bm1,t1,f,m9","x2,d6,ls,f,m9","x2,d6,ls,m10,f","x2,d7,ls,m10,f"
"x2,d3,t1,mt2,f,m5","x2,d3,t1,mt2,f,m6","x2,d3,t1,mt2,b1,f,m6","x2,d4,t1,mt2,b1,f,m7","x2,d5,t1,mt2,bf1,f,m7","x2,d5,t1,m52,bf1,f,m8","x2,t1,mt2,bm1,f,m8,d6","x2,d6,t1,mt2,bm1,f,m9","x2,d6,ls,f,m9","x2,d6,ls,f,m10","x2,d7,ls,m10,f"
"x2,d2,f,mt1,m5","x2,d2,t2,f,m6","x2,d3,mt1,f,m6,t2","x2,d3,mt1,b1,f,t2,m7","x2,d4,mt1,b1,f,m8,t2","x2,d5,mt1,bf1,t2,f,m9","x2,d5,mt1,bf2,f,m10,t2","x2,mt1,bm2,f,m10,d6,t2","x2,d6,mt1,bm2,f,m10,t2","x2,ls,f,d6,m10","x2,d7,ls,f,m10"
"x2,d2,f,m2","x2,d2,t1,f,m2","x2,d3,t1,f,m2","x2,d3,t1,b1,f,m3","x2,d4,t1,f,m3","x2,d5,t1,b1,f,m3","x2,d5,t1,mt2,b2,f,m3","x2,t1,b2,f,m4,d6","x2,d6,mt1,bm2,f,m10,t2","x2,ls,f,d6,m10","x2,d6,ls,m10,f"
"x2,d2,f,mt1,m5","x2,d2,mt1,f,m5","x2,d3,f,mt1,m6","x2,d3,t2,mt1,f,m6","x2,d4,t2,f,mt1,m6","x2,d5,b1,mt1,f,m6","x2,d5,t2,mt1,f,m7","x2,b2,f,mt1,d6,m7","x2,d6,t1,bf2,mt2,f,m4","x2,ls,f,d6,m10","x2,d6,ls,f,m10"
"x2,d3,t1,f,m5","x2,d3,t1,b1,f,m5","x2,d3,t1,b1,f,m6","x2,d4,t1,b2,f,m7","x2,d5,t1,b2,f,m7","x2,d5,t1,bf3,f,m8","x2,bm3,t1,f,m8,d6","x2,d6,t1,bm3,f,m9","x2,d6,ls,f,m10","x2,d6,ls,f,m10","x2,d7,ls,f,m10"
"x2,d3,51,f,m5","x2,d3,t1,f,m5","x2,d3,t1,f,m5","x2,d4,t1,f,m6","x2,d5,b1,t1,f,m6","x2,d5,b1,t1,f,m7","x2,bf1,t1,f,m7,d6","x2,d6,bf1,t1,f,m8","x2,bm1,t1,f,d6,m8","x2,d6,ls,f,m10","x2,d7,ls,f,m10"
"x2,d3,t1,f,m5","x2,d3,t1,f,m6","x2,d3,t1,mt1,f,m6","x2,d4,t1,f,m6","x2,d5,t1,f,m7","x2,b1,mt1,t1,f,m7,d6","x2,d6,t1,mt1,bm1,f,m8","x2,d6,ls,f,m10","x2,d6,ls,m10,u","x2,d6,ls,m10,u","x2,d7,ls,m10,u"
"x2,d3,mt2,f,m5","x3,d3,b1,f,m6,mt3","x2,d3,bf1,mt3,f,m6","x2,d4,b1,f,m6,mt3","x2,d5,mt4,f,m7","x2,bf1,f,m7,d6,mt4","x2,d6,mb1,f,m8,mt5","x2,ls,pb,f,d6,m10","x2,d6,ls,m,10,u","x2,d7,ls,m10,u","x3,d8,ls,m10,u"
"x3,d3,b2,f,m5","x3,d3,b2,v1,f,m6","x3,d3,bm2,f,m6","x3,d5,b3,f,m6","x3,d6,b3,f,m7","x3,bm3,v1,f,m7,d7","x3,bm3,v1,f,m8,d7","x3,bs4,v2,f,m8,d8","x3,bs4,v2,m9,u,d8","x4,bs4,v2,m9,u,d9","x4,bs4,v2,m10,u,d9"
"x3,m4,f,h6","x3,m4,f,h6,v1","x3,m4,f,h6,v1","x3,m4,f,h7,v1","x3,m4,f,h8,v2","x3,m4,f,h9,v2","x3,m5,f,h10,v2","x3,m5,f6,h9,v2,b1","x3,m5,f,h10,v2,bm1","x3,m5,f,h10,v2,bf1","x3,m5,f,h,10,v2,bs1"
"x3,m3,d2,mt1","x3,m3,d2,b1,f","x3,m3,d2,mt1,f,ib","x3,m3,d2,mt1,f,ib","x3,m4,d2,b2,f","x3,m5,d3,b2,f","x3,m5,d3,b2,f","x3,m5,d4,b3,f,mt1","x3,m6,d5,bm3,f,mt1","x4,m7,d6,bs3,f","x4,m8,d7,bs3,f,mt1"
"x3,v2,f,mt1","x3,mt1,v2,f","x3,a1,v3,f","x3,a2,v3,f,mt2","x3,a3,v3,f","x3,a3,v3,f","x3,a3,mt2,v4,f","x3,u,v4,f","x3,b1,v4,u,f","x4,b2,v4,mt2,u",cut in twain (dead)
"x3,a2,mt1,w","x3,a2,f","x3,a2,mt1,f","x3,a3,mt2,f","x3,a3,ib,mt2,f","x3,a3,mt2,v1,f","x3,a4,b1,f","x3,u,b2,mt2","x3,b2,v2,u","x4,b2,v2,mt2,u",cut in twain (dead)
"x3,v2,mt1,f","x3,mt2,v2,f","x3,a1,v2,f","x3,a2,v3,f,mt2","x3,a3,v3,f","x3,a3,v3,f","x3,a3,mt2,v3,f","x3,u,v3,f","x3,b1,v3,u","x4,b1,v3,mt2,u",cut in twain (dead)
"x3,v1,mt1","x3,mt2,v1","x3,b1,v1","x3,s5,b1,v2,f,mt2","x3,bf1,v2,f","x3,bm1,v2,f","x3,bm1,mt2,v2,f","x3,bs1,u,v2","x3,bs1,v2,u","x4,bs1,v2,mt2,u",cut in twain (dead)
"x3,b1,mt1,f","x3,b1,v1,f","x3,a1,v1,f","x3,a2,v1,f,b1","x3,a3,v2,b1,f","x3,bm4,v2,f","x3,a3,b1,v2,f","x3,u,b1,mt1,v2","x3,b1,v2,u","x4,b1,v2,mt1,u",cut in twain (dead)
"x3,v1,b3","x3,mt2,v1,b3","x3,bf3,v1","x3,s5,b3,v2,f,mt2","x3,bf4,v2,f","x3,bm2,v1,f","x3,bm4,mt3,v3,f","x3,bs4,u,v3","x3,bs4,v3,u","x4,bs4,v3,mt3,u",cut in twain (dead)
"x3,v1,b1,w","x3,bm2,v1,w","x3,b2,v1,w","x3,s5,b2,v1,f","x3,b2,v1,f","x3,bm3,mt2","x3,bm2,v1,f","x3,bs2,u,v1","x3,bs2,v1,u","x4,bs2,v1,u",cut in twain (dead)
"x3,f,b2","x3,mt1,f","x3,v1","x3,s5,b3,f","x3,b3,v1","x3,bm3,mt1","x3,bm4,v1,mt2","x3,bs4,u,mt2","x3,bs4,v1,mt2,u","x4,bs4,v1,mt2,u",cut in twain (dead)
