Roll,Location,1,2,3,4,5,6,7,8,9,10,11,12,13
1-100,"Foot, top",1,1,3,3,"4,m1","4,m1","6,ib,m2","6,ib,m2","8,ib,m3","8,ib,m3","x2,ib,m4","x2,ib,m4","x2,ib,m5"
101-104,Heel,1,1,3,3,"4,m1","4,m1","6,ib,m2","6,ib,m2,a1","8,ib,m3,a1","8,ib,m3,a2","x2,ib,m4,a2","x2,ib,a2,d1,m4","x2,ib,a2,d2,m5"
105-136,Toe(s),1,1,3,3,"4,m1","4,m1","6,ib,m2","6,ib,m2","8,ib,m3","8,ib,m3","x2,ib,m4","x2,ib,m4","x2,ib,m5"
137-140,"Foot, arch",1,1,3,3,"4,m1","4,m1","6,ib,m2","6,ib,m2,a1","8,ib,m3,a1","8,ib,m3,a2","x2,ib,m4,a2","x2,ib,a2,d1,m4"
141-170,"Ankle, inner",1,1,3,"4,m1","6,m1","6,m2,f","8,m2,f","x2,d1,m3,f,ib","x2,d2,f,m4,ib","x2,d2,f,m5,ib","x2,d2,f,m5,ib","x2,d2,f,m5,ib","x2,ib,a2,d2,m5"
171-200,"Ankle, outer",1,1,3,"4,m1","6,m1","6,m2,f","8,m2,f","x2,d1,m3,f,ib","x2,d2,f,m4,ib","x2,d2,f,m5,ib","x2,d2,f,m5,ib","x2,d2,f,m5,ib","x2,d2,t1,ib,f,m5"
201-220,"Ankle, upper/Achilles",1,1,3,3,"4,m1","4,m1","6,m1","6,m2","8,m2","x2,d1,m3","x2,d2,f,m4","x2,d2,f,m5","x2,d2,t1,ib,f,m5"
221-964,Shin,1,1,3,3,4,4,"6,m1","6,m1","8,m1","8,d1,m1","x2,d2,f,m1","x2,d2,f,m2","x2,d2,f,m5"
965-1006,Calf,1,1,3,3,"4,m1","4,m1","6,m1","6,m2","8,m2","x2,d1,m3","x2,d2,f,m4","x2,d2,f,m5","x2,d2,f,m2"
1007-1118,Knee,1,1,3,"4,m1","6,m1","6,m2,f","8,m2,f","x2,d1,m3,f,t1","x2,d2,f,m4,ib","x2,d2,f,m5,t1","x2,d2,f,m5,ib","x2,d2,f,m5,ib","x2,d2,t1,ib,f,m5"
